index_code,index_name
000001,上证指数
000002,Ａ股指数
000003,Ｂ股指数
000004,工业指数
000005,商业指数
000006,地产指数
000007,公用指数
000008,综合指数
000009,上证380
000010,上证180
000011,基金指数
000012,国债指数
000013,企债指数
000015,红利指数
000016,上证50
000017,新综指
000018,180金融
000019,治理指数
000020,中型综指
000021,180治理
000022,沪公司债
000025,180基建
000026,180资源
000027,180运输
000028,180成长
000029,180价值
000030,180R成长
000031,180R价值
000032,上证能源
000033,上证材料
000034,上证工业
000035,上证可选
000036,上证消费
000037,上证医药
000038,上证金融
000039,上证信息
000040,上证电信
000041,上证公用
000042,上证央企
000043,超大盘
000044,上证中盘
000045,上证小盘
000046,上证中小
000047,上证全指
000048,责任指数
000049,上证民企
000050,50等权
000051,180等权
000052,50基本
000053,180基本
000054,上证海外
000055,上证地企
000056,上证国企
000057,全指成长
000058,全指价值
000059,全R成长
000060,全R价值
000061,沪企债30
000062,上证沪企
000063,上证周期
000064,非周期
000065,上证龙头
000066,上证商品
000067,上证新兴
000068,上证资源
000069,消费80
000070,能源等权
000071,材料等权
000072,工业等权
000073,可选等权
000074,消费等权
000075,医药等权
000076,金融等权
000077,信息等权
000078,电信等权
000079,公用等权
000090,上证流通
000091,沪财中小
000092,资源50
000093,180分层
000094,上证上游
000095,上证中游
000096,上证下游
000097,高端装备
000098,上证F200
000099,上证F300
000100,上证F500
000101,5年信用
000102,沪投资品
000103,沪消费品
000104,380能源
000105,380材料
000106,380工业
000107,380可选
000108,380消费
000109,380医药
000110,380金融
000111,380信息
000112,380电信
000113,380公用
000114,持续产业
000115,380等权
000116,信用100
000117,380成长
000118,380价值
000119,380R成长
000120,380R价值
000121,医药主题
000122,农业主题
000123,180动态
000125,180稳定
000126,消费50
000128,380基本
000129,180波动
000130,380波动
000131,上证高新
000132,上证100
000133,上证150
000134,上证银行
000135,180高贝
000136,180低贝
000137,380高贝
000138,380低贝
000139,上证转债
000141,380动态
000142,380稳定
000145,优势资源
000146,优势制造
000147,优势消费
000148,消费领先
000149,180红利
000150,380红利
000151,上国红利
000152,上央红利
000153,上民红利
000155,市值百强
000158,上证环保
000159,沪股通
000160,沪新丝路
000161,沪中国造
000162,沪互联+
000170,50AH优选
000171,新兴成指
000300,沪深300
000802,500沪市
000805,A股资源
000806,消费服务
000807,食品饮料
000808,医药生物
000814,细分医药
000816,细分地产
000819,有色金属
000821,300红利
000823,800有色
000827,中证环保
000828,300高贝
000832,中证转债
000833,中高企债
000841,800医药
000842,800等权
000846,ESG 100
000847,腾讯济安
000849,300非银
000850,300有色
000851,百发100
000852,中证1000
000853,CSSW丝路
000854,500原料
000855,央视500
000856,500工业
000857,500医药
000858,500信息
000863,CS精准医
000865,上海国企
000867,港中小企
000869,HK银行
000891,新兴综指
000901,小康指数
000903,中证100
000904,中证200
000905,中证500
000906,中证800
000908,300能源
000909,300材料
000910,300工业
000911,300可选
000912,300消费
000913,300医药
000914,300金融
000917,300公用
000918,300成长
000919,300价值
000922,中证红利
000925,基本面50
000928,中证能源
000931,中证可选
000932,中证消费
000933,中证医药
000934,中证金融
000935,中证信息
000939,民企200
000940,财富大盘
000944,内地资源
000950,300基建
000951,300银行
000952,300地产
000957,300运输
000958,创业成长
000959,银河99
000961,中证上游
000963,中证下游
000964,中证新兴
000966,基本400
000969,300非周
000971,等权90
000974,800金融
000975,钱江30
000977,内地低碳
000978,医药100
000979,大宗商品
000982,500等权
000983,智能资产
000984,300等权
000986,全指能源
000987,全指材料
000989,全指可选
000990,全指消费
000991,全指医药
000992,全指金融
000993,全指信息
000998,中证TMT
399001,深证成指
399002,深成指R
399003,成份Ｂ指
399004,深证100R
399005,中小板指
399006,创业板指
399007,深证300
399008,中小300
399009,深证200
399010,深证700
399011,深证1000
399012,创业300
399013,深市精选
399015,中小创新
399016,深证创新
399017,SME创新
399018,创业创新
399050,创新引擎
399100,新 指 数
399101,中小板综
399102,创业板综
399103,乐富指数
399106,深证综指
399107,深证Ａ指
399108,深证Ｂ指
399231,农林指数
399232,采矿指数
399233,制造指数
399234,水电指数
399235,建筑指数
399236,批零指数
399237,运输指数
399238,餐饮指数
399239,IT指数
399240,金融指数
399241,地产指数
399242,商务指数
399243,科研指数
399244,公共指数
399248,文化指数
399249,综企指数
399297,新浪100
399298,深信中高
399299,深信中低
399300,沪深300
399301,深信用债
399302,深公司债
399303,国证2000
399306,深证ETF
399307,深证转债
399310,国证50
399311,国证1000
399312,国证300
399313,巨潮100
399314,巨潮大盘
399315,巨潮中盘
399316,巨潮小盘
399317,国证Ａ指
399318,国证Ｂ指
399319,资源优势
399320,国证服务
399321,国证红利
399322,国证治理
399324,深证红利
399326,成长40
399328,深证治理
399330,深证100
399333,中小板R
399335,深证央企
399337,深证民营
399339,深证科技
399341,深证责任
399344,深证300R
399346,深证成长
399348,深证价值
399350,皖江30
399351,深报指数
399352,深报综指
399353,国证物流
399354,分析师指
399355,长三角
399356,珠三角
399357,环渤海
399358,泰达指数
399359,国证基建
399360,新硬件
399361,国证商业
399362,国证民营
399363,计算机指
399364,中金消费
399365,国证农业
399366,国证大宗
399367,巨潮地产
399368,国证军工
399369,CBN-兴全
399370,国证成长
399371,国证价值
399372,大盘成长
399373,大盘价值
399374,中盘成长
399375,中盘价值
399376,小盘成长
399377,小盘价值
399378,南方低碳
399379,国证基金
399380,国证ETF
399381,1000能源
399382,1000材料
399383,1000工业
399384,1000可选
399385,1000消费
399386,1000医药
399387,1000金融
399388,1000信息
399389,国证通信
399390,1000公用
399391,投资时钟
399392,国证新兴
399393,国证地产
399394,国证医药
399395,国证有色
399396,国证食品
399397,OCT文化
399398,绩效指数
399399,中经GDP
399400,大中盘
399401,中小盘
399402,周期100
399403,防御100
399404,大盘低波
399405,大盘高贝
399406,中盘低波
399407,中盘高贝
399408,小盘低波
399409,小盘高贝
399410,苏州率先
399411,红利100
399412,国证新能
399413,国证转债
399415,I100
399416,I300
399417,新能源车
399418,国证国安
399419,国证高铁
399420,国证保证
399422,中关村A
399423,中关村50
399427,专利领先
399428,国证定增
399429,新丝路
399431,国证银行
399432,国证汽车
399433,国证交运
399434,国证传媒
399435,国证农牧
399436,国证煤炭
399437,国证证券
399438,国证电力
399439,国证油气
399440,国证钢铁
399441,生物医药
399481,企债指数
399550,央视50
399551,央视创新
399552,央视成长
399553,央视回报
399554,央视治理
399555,央视责任
399556,央视生态
399557,央视文化
399602,中小成长
399604,中小价值
399606,创业板R
399608,科技100
399610,TMT50
399611,中创100R
399612,中创100
399613,深证能源
399614,深证材料
399615,深证工业
399616,深证可选
399617,深证消费
399618,深证医药
399619,深证金融
399620,深证信息
399621,深证电信
399622,深证公用
399623,中小基础
399624,中创400
399625,中创500
399626,中创成长
399627,中创价值
399628,700成长
399629,700价值
399630,1000成长
399631,1000价值
399632,深100EW
399633,深300EW
399634,中小板EW
399635,创业板EW
399636,深证装备
399637,深证地产
399638,深证环保
399639,深证大宗
399640,创业基础
399641,深证新兴
399642,中小新兴
399643,创业新兴
399644,深证时钟
399645,100低波
399646,深消费50
399647,深医药50
399648,深证GDP
399649,中小红利
399650,中小治理
399651,中小责任
399652,中创高新
399653,深证龙头
399654,深证文化
399655,深证绩效
399656,100绩效
399657,300绩效
399658,中小绩效
399659,深成指EW
399660,中创EW
399661,深证低波
399662,深证高贝
399663,中小低波
399664,中小高贝
399665,中创低波
399666,中创高贝
399667,创业板G
399668,创业板V
399669,深证农业
399670,深周期50
399671,深防御50
399672,深红利50
399673,创业板50
399674,深A医药
399675,深互联网
399676,深医药EW
399677,深互联EW
399678,深次新股
399679,深证200R
399680,深成能源
399681,深成材料
399682,深成工业
399683,深成可选
399684,深成消费
399685,深成医药
399686,深成金融
399687,深成信息
399688,深成电信
399689,深成公用
399690,中小专利
399691,创业专利
399692,创业低波
399693,安防产业
399694,创业高贝
399695,深证节能
399696,深证创投
399697,中关村60
399698,优势成长
399699,金融科技
399701,深证F60
399702,深证F120
399703,深证F200
399704,深证上游
399705,深证中游
399706,深证下游
399707,CSSW证券
399802,500深市
399803,工业4.0
399804,中证体育
399805,互联金融
399806,环境治理
399807,高铁产业
399808,中证新能
399809,保险主题
399810,CSSW传媒
399811,CSSW电子
399812,养老产业
399813,中证国安
399814,大农业
399817,生态100
399901,小康指数
399903,中证100
399904,中证 200
399905,中证 500
399908,300 能源
399909,300 材料
399910,300 工业
399911,300 可选
399912,300 消费
399913,300 医药
399914,300 金融
399917,300 公用
399918,300 成长
399919,300 价值
399922,中证红利
399925,基本面50
399928,中证能源
399931,中证可选
399932,中证消费
399933,中证医药
399934,中证金融
399935,中证信息
399939,民企200
399944,内地资源
399950,300基建
399951,300银行
399952,300地产
399957,300运输
399958,创业成长
399959,军工指数
399961,中证上游
399963,中证下游
399964,中证新兴
399965,800地产
399966,800非银
399967,中证军工
399969,300非周
399970,移动互联
399971,中证传媒
399972,300深市
399973,中证国防
399974,国企改革
399975,证券公司
399976,CS新能车
399977,内地低碳
399978,医药100
399979,大宗商品
399982,500等权
399983,地产等权
399986,中证银行
399987,中证酒
399989,中证医疗
399990,煤炭等权
399991,一带一路
399992,CSWD并购
399993,CSWD生科
399994,信息安全
399995,基建工程
399996,智能家居
399997,中证白酒
399998,中证煤炭
880001,总市值
880002,流通市值
880003,平均股价
880004,成交均价
880005,涨跌家数
880006,停板家数
880007,活筹市值
880011,Ａ主总值
880012,Ａ主流通
880013,Ａ主平均
880014,Ａ主均价
880015,Ａ主涨跌
880016,Ａ主停板
880017,Ａ主活筹
880021,中小总值
880022,中小流通
880023,中小平均
880024,中小均价
880025,中小涨跌
880026,中小停板
880027,中小活筹
880031,创业总值
880032,创业流通
880033,创业平均
880034,创业均价
880035,创业涨跌
880036,创业停板
880037,创业活筹
880201,黑龙江
880202,新疆板块
880203,吉林板块
880204,甘肃板块
880205,辽宁板块
880206,青海板块
880207,北京板块
880208,陕西板块
880209,天津板块
880210,广西板块
880211,河北板块
880212,广东板块
880213,河南板块
880214,宁夏板块
880215,山东板块
880216,上海板块
880217,山西板块
880218,深圳板块
880219,湖北板块
880220,福建板块
880221,湖南板块
880222,江西板块
880223,四川板块
880224,安徽板块
880225,重庆板块
880226,江苏板块
880227,云南板块
880228,浙江板块
880229,贵州板块
880230,海南板块
880231,西藏板块
880232,内蒙板块
880301,煤炭
880302,煤炭开采
880303,焦炭加工
880305,电力
880306,水力发电
880307,火力发电
880308,新型电力
880310,石油
880311,石油开采
880312,石油加工
880313,石油贸易
880318,钢铁
880319,普钢
880320,特种钢
880321,钢加工
880324,有色
880325,铜
880326,铝
880327,铅锌
880328,黄金
880329,小金属
880330,化纤
880335,化工
880336,化工原料
880337,农药化肥
880338,塑料
880339,橡胶
880340,染料涂料
880344,建材
880345,陶瓷
880346,水泥
880347,玻璃
880348,其他建材
880350,造纸
880351,矿物制品
880355,日用化工
880360,农林牧渔
880361,种植业
880362,渔业
880363,林业
880364,饲料
880366,农业综合
880367,纺织服饰
880368,纺织
880369,服饰
880372,食品饮料
880373,乳制品
880374,软饮料
880375,食品
880380,酿酒
880381,白酒
880382,啤酒
880383,红黄酒
880387,家用电器
880390,汽车类
880391,汽车整车
880392,汽车配件
880393,汽车服务
880394,摩托车
880398,医疗保健
880399,家居用品
880400,医药
880401,化学制药
880402,生物制药
880403,中成药
880406,商业连锁
880407,百货
880408,超市连锁
880409,电器连锁
880410,医药商业
880411,其他商业
880412,商品城
880413,批发业
880414,商贸代理
880418,传媒娱乐
880419,出版业
880420,影视音像
880421,广告包装
880422,文教休闲
880423,酒店餐饮
880424,旅游
880425,旅游服务
880426,旅游景点
880430,航空
880431,船舶
880432,运输设备
880437,通用机械
880438,机床制造
880439,机械基件
880440,工业机械
880441,化工机械
880442,轻工机械
880443,纺织机械
880444,农用机械
880445,专用机械
880446,电气设备
880447,工程机械
880448,电器仪表
880452,电信运营
880453,公共交通
880454,水务
880455,供气供热
880456,环境保护
880459,运输服务
880460,铁路
880461,水运
880462,空运
880463,公路
880464,仓储物流
880465,交通设施
880466,路桥
880467,机场
880468,港口
880471,银行
880472,证券
880473,保险
880474,多元金融
880476,建筑
880477,建筑工程
880478,装修装饰
880482,房地产
880483,全国地产
880484,区域地产
880485,园区开发
880486,房产服务
880489,IT设备
880490,通信设备
880491,半导体
880492,元器件
880493,软件服务
880494,互联网
880497,综合类
880501,含H股
880502,含B股
880503,皖江区域
880504,长株潭
880505,稀缺资源
880506,5G概念
880507,国防军工
880511,承诺注资
880513,海峡西岸
880515,通达信88
880516,ST板块
880519,低碳经济
880520,智能电网
880521,黄金概念
880522,成渝特区
880523,黄河三角
880524,含可转债
880525,铁路基建
880526,长三角
880527,珠三角
880528,环渤海
880529,次新股
880530,三网融合
880531,武汉规划
880532,整体上市
880533,物联网
880534,锂电池
880535,稀土永磁
880536,多晶硅
880537,核电核能
880538,参股金融
880539,股权激励
880540,创投概念
880542,水利建设
880543,外资背景
880544,太阳能
880545,云计算
880546,卫星导航
880547,电子支付
880548,新三板
880549,可燃冰
880550,保障房
880551,涉矿概念
880552,金融改革
880553,页岩气
880554,东亚自贸
880556,IP变现
880557,生物疫苗
880558,节能
880560,高端装备
880562,高校背景
880563,食品安全
880564,奢侈品
880565,送转潜力
880566,图们江
880567,海南自贸
880568,生物质能
880569,3D打印
880570,海水淡化
880571,碳纤维
880572,新零售
880573,摘帽概念
880574,苹果概念
880575,地热能
880576,重组股
880577,安防服务
880578,建筑节能
880579,生态农业
880580,智能交通
880581,空气治理
880582,风能
880583,充电桩
880584,石墨烯
880585,风沙治理
880586,土地流转
880587,聚氨酯
880588,绿色照明
880589,智能穿戴
880590,网络游戏
880591,上海自贸
880592,互联金融
880593,婴童概念
880594,一带一路
880595,民营银行
880596,体育概念
880597,养老概念
880598,博彩概念
880599,民营医院
880600,油气改革
880601,种植业
880602,渔业
880603,林业
880604,饲料
880605,农产加工
880606,农业综合
880607,畜禽养殖
880608,动物保健
880609,石油开采
880610,煤炭开采
880612,采掘服务
880613,石油化工
880614,化学原料
880615,化学制品
880616,化学纤维
880617,塑料
880618,橡胶
880619,化工新材
880620,钢铁
880621,有色金属
880622,金属新材
880623,建筑材料
880624,建筑装饰
880625,通用机械
880626,专用设备
880627,仪器仪表
880628,电气设备
880629,金属制品
880630,半导体
880631,元件
880632,光学光电
880633,其他电子
880634,电子制造
880635,汽车整车
880636,汽车部件
880637,其它交运
880638,交运服务
880639,通信设备
880640,电脑设备
880641,白色家电
880642,视听器材
880643,食品加工
880644,饮料制造
880645,纺织制造
880646,服装家纺
880647,造纸
880648,包装印刷
880649,家用轻工
880650,其他轻工
880651,化学制药
880652,中药
880653,生物制品
880654,医药商业
880655,医疗器械
880656,医疗服务
880657,电力
880658,水务
880659,燃气
880660,环保工程
880661,港口
880662,高速公路
880663,公交
880664,航空运输
880665,机场
880666,航运
880667,铁路运输
880668,物流
880669,房产开发
880670,园区开发
880671,银行
880672,多元金融
880673,证券
880674,保险
880675,零售
880676,贸易
880677,景点
880678,酒店
880679,旅游综合
880680,餐饮
880681,通信运营
880682,网络服务
880683,电脑应用
880684,传媒
880685,综合
880801,基金重仓
880802,QFII重仓
880803,券商重仓
880804,信托重仓
880805,保险重仓
880806,社保重仓
880807,高管增持
880808,高管减持
880809,基金独门
880810,陆股通买
880811,陆股通卖
880812,昨日连板
880813,重组预案
880821,大盘股
880823,小盘股
880824,高市盈率
880826,低市盈率
880827,高市净率
880829,低市净率
880833,亏损股
880834,微利股
880835,绩优股
880836,配股股
880837,活跃股
880842,业绩预升
880843,业绩预降
880844,预计扭亏
880845,高股息股
880846,破净资产
880847,行业龙头
880848,被举牌
880849,股份回购
880850,定增预案
880851,已高送转
880852,参股新股
880853,中字头
880854,预高送转
880856,定增股
880857,证金持股
880858,国开持股
880859,员工持股
880860,扣非亏损
880861,连续亏损
880863,昨日涨停
880864,昨日振荡
880865,近期新高
880866,近期新低
880867,昨高换手
880868,高贝塔值
880869,股权转让
880870,两年新股
880871,股权分散
880872,最近复牌
880873,个人持股
880874,昨曾涨停
880875,中小银行
880876,户数增加
880877,户数减少
880878,百元股
880879,低价股
880880,上周强势
880881,上周弱势
880882,久不分红
880883,MSCI成份
880884,近期异动
880885,次新开板
880886,昨日较强
880887,次新超跌
880889,不活跃股
880890,配股预案
880891,破发行价
880892,高质押股
880893,送转超跌
880894,养老金
880895,持续增长
880896,风险提示
880897,本月解禁
880901,信息安全
880902,特斯拉
880903,水域改革
880904,智能机器
880905,超导概念
880906,智能家居
880907,蓝宝石
880908,在线教育
880909,燃料电池
880910,草甘膦
880911,雄安新区
880912,电商概念
880913,基因概念
880915,职业教育
880916,国产软件
880917,央企改革
880918,全息概念
880919,粤港澳
880920,免疫治疗
880921,阿里概念
880922,钛金属
880923,赛马概念
880925,特钢
880926,固废处理
880927,抗癌
880928,抗流感
880929,维生素
880930,汽车电子
880931,装饰园林
880932,农村金融
880933,智能医疗
880935,智能电视
880936,猪肉
880937,网贷概念
880938,污水处理
880939,无人机
880940,PPP模式
880941,跨境电商
880942,虚拟现实
880943,量子通信
880944,无人驾驶
880945,OLED概念
880946,区块链
880947,债转股
880948,人工智能
880949,智慧城市
880950,军民融合
880951,新能源车
880952,芯片
880953,租购同权
880954,大数据
880955,乡村振兴
880956,腾讯概念
880957,工业互联
880958,独角兽
880959,知识产权
880960,仿制药
880961,小米概念
880962,百度概念
880981,TDX 能源
880982,TDX 材料
880983,TDX 消费
880984,TDX 可选
880985,TDX 商贸
880986,TDX 服务
880987,TDX 制造
880988,TDX 公用
880989,TDX 交运
880990,TDX 金融
880991,TDX 建设
880992,TDX 信息
880993,TDX 综企
